Oracion;Sujeto;
Los obreros extranjeros aún no terminan la obra.;Los obreros extranjeros;
La obra aún no fue terminada por los obreros extranjeros.;La obra;
Este domingo iremos a acampar en el bosque;Nosotros;
¿Aún no terminas de tomarte esa cerveza?;Tú;
Nuestro invitado llegará tarde hoy.;Nuestro invitado;
Luis reconoció que había cometido un grave error.;Luis;
Mañana llegarán los estudiantes de intercambio.;los estudiantes de intercambio;
Nadie corrió tanto como lo hice yo.;Nadie;
Antonio, María y Juan están por salir del partido de béisbol.;Antonio, María y Juan;
¿Quiénes eran esos tipos de allá?;esos tipos de allá;
Me duele muchísimo la cabeza desde ayer.;la cabeza;
Las mujeres fueron creadas a partir de una costilla de Adán.;Las mujeres;
¿Por qué está tu madre peleando otra vez?;tu madre;
En el lado oculto de la Luna vivían los extraterrestres.;los extraterrestres;
Venezuela atraviesa su peor crisis en la historia.;Venezuela;
Llegaron los amigos del chico que conociste en la fiesta de Juan.;los amigos del chico que conociste en la fiesta de Juan.;
Hoy en día se impone como un modelo a seguir el proyecto de economía popular.;el proyecto de economía popular.;
El piloto italiano ganó su primera carrera.;El piloto italiano;
El cuchillo está muy afilado.;El cuchillo;
María estudia medicina por las noches.;María;
La pantalla de la computadora tiene mucho brillo;La pantalla de la computadora;
Este libro es de los mejores que he leído.;Este libro;
Los pájaros se posaron en el árbol del patio.;Los pájaros;
Alfredo llenó la botella.;Alfredo;
Quiero viajar en tren.;Yo;
Ese médico alto que curó a Cristina se acaba de jubilar.;Ese médico alto que curó a Cristina;
La soprano recibió aplausos y vítores.;La soprano;
Los gatos de mi hermana se pasan el día dormidos;Los gatos de mi hermana;
Los neumáticos del coche tienen que ser cambiados.;Los neumáticos del coche;
Los bomberos apagaron el incendio del monte.;Los bomberos;
Las casas de ese barrio necesitan reformas.;Las casas de ese barrio;
La ropa ya está seca.;La ropa;
Los mecánicos repararon el carro con rapidez.;Los mecánicos;
Las nubes que se ven son muy oscuras.;Las nubes que se ven;
El presidente y los ministros recibieron al nuevo embajador.;El presidente y los ministros;
La pieza de piano fue ejecutada magistralmente.;La pieza de piano;
¡El café está muy caliente!;El café;
Ella le explicó la lección;Ella;
pero el alumno no la entendió.;el alumno;
El entrenador le dijo al portero que saliera a calentar.;El entrenador;
Las noches del norte son más frías que las del sur.;Las noches del norte;
El cabello de Sara tiene un brillo especial.;El cabello de Sara;
El público salió antes de que terminara la función.;El público;
La casa está infestada de cucarachas.;La casa;
Los perros, los gatos y los ratones son mamíferos.;Los perros, los gatos y los ratones;
Su último libro lidera el ranking de ventas.;Su último libro;
Los periodistas cubrieron la noticia.;Los periodistas;
La Edad Media está considerada un periodo oscuro.;La Edad Media;
Mi hermano se ha dejado el horno encendido.;Mi hermano;
Esta zona tiene poca cobertura.;Esta zona;
El médico le recomendó que dejara de fumar.;El médico;
Aquel perro tan bonito es de mi vecina.;Aquel perro tan bonito;
El té se derramó por la mesa.;El té;
La mostaza de esa marca sabe muy bien.;La mostaza de esa marca;
Mi vecino toca la batería por las noches.;Mi vecino;
La policía detuvo al sospechoso de robo.;La policía;
El celular se está cargando.;El celular;
Ese edificio fue proyectado por un famoso arquitecto.;Ese edificio;
El tráfico de esta ciudad es realmente molesto.;El tráfico de esta ciudad;
La batería del coche está descargada.;La batería del coche;
Los padres están preocupados.;Los padres;
Los ingenieros diseñaron un plano.;Los ingenieros;
Juan ganó la carrera de 100m.;Juan;
La luna alumbró más que nunca.;La luna;
El auto se malogró en la carretera;El auto;
El orador dio un gran discurso.;El orador;
Raúl demostró ser un gran atleta;Raúl;
Ana y Julio son una gran pareja de baile;Ana y Julio;
La doctora le recetó antibióticos.;La doctora;
El león tiene melena grande.;El león;
Los doctores operaron a sus pacientes.;Los doctores;
Los caramelos son de menta.;Los caramelos;
Los pañales eran de mala calidad.;Los pañales;
El caso era muy difícil de ganar.;El caso;
Los abogados se encargaron de conciliar.;Los abogados;
Mis mascotas esperan su alimento;Mis mascotas;
El libro tiene la firma del autor.;El libro;
El lápiz esta sin punta.;El lápiz;
Las olas rompían contra las rocas;Las olas;
El perro viejo es muy agresivo;El perro viejo;
Mi prima francesa;prima;
Los padres de hoy en día;padres;
Tengo mucho dolor de cabeza.;Yo;
La computadora está encendida todavía.;La computadora;
Tú no eras más tonto que nadie.;Tú;
La clase comienza a las 2 de la tarde.;La clase;
Nosotros fuimos al cine.;Nosotros;
El dueño saca a pasear al perro el sujeto es;El dueño;
